Karl Marx,CS,Building a service to help fighting for worker's rights
Anton Chekov,CSDS,Creating an app for writing plays about the middle classes
Ashton Kutcher,CS,Creating an app for starring in sit-coms
Marco Polo,CS,Creating a web interface for opening new markets
Taylor Swift,CS,Building a REST API for singing pop songs
Megan Fox,CSDS,Building a REST API for starring in Hollywood movies
Ali G,DS,Building a REST API for interviewing celebrities
Gloria Steinem,CS,Creating a web interface for promoting feminism
Dr. Henry Jekyll,DS,Building a service to help suppressing violent urges
Niles Crane,DS,Creating a web interface for nurturing sibling rivalry
Russell Brand,CSDS,Building a REST API for starring in comedies
Madonna,CS,Creating an app for writing pop songs
John Dillinger,CSDS,Building a service to help eluding the FBI
Christopher Hitchens,CS,Creating a web interface for ranting about politics
Chris Rock,CS,Building a service to help cross-dressing in women's clothes
Popeye,DS,Creating an app for promoting healthy eating
Indiana Jones,DS,Building a service to help digging for antiquities
Ella Fitzgerald,CS,Building a REST API for singing the blues
Rafael Nadal,CSDS,Creating a web interface for delivering forehand slams
Bobby Kennedy,CSDS,Building a service to help campaigning for social causes
Hulk Hogan,CS,Building a service to help pretending to wrestle
Ed Wood,CS,Creating a web interface for directing bad movies
Gloria Steinem,CSDS,Creating an app for promoting feminism
Ann Coulter,CS,Building a service to help ranting about liberals
Indiana Jones,DS,Creating an app for punching out Nazis
Johann von Goethe,CS,Building a REST API for writing poetry
Bobby Kennedy,CSDS,Creating an app for campaigning for social causes
Tony Soprano,DS,Creating an app for running a crime family
Thomas Jefferson,CS,Creating an app for campaigning for democracy
Genghis Khan,CSDS,Creating an app for running an empire
Anton Chekov,CS,Creating a web interface for writing plays about the middle classes
Ann Coulter,CS,Building a REST API for ranting about liberals
Morpheus,DS,Building a service to help searching for the messiah
Dalton Trumbo,CS,Creating a web interface for writing scripts
Howard Hughes,CSDS,Creating a web interface for building airplanes
Jackson Pollock,CS,Creating a web interface for dripping paint onto canvas
Philip Marlowe,DS,Creating an app for solving crimes
Christopher Hitchens,CS,Building a service to help ranting about politics
Jeremy Clarkson,CS,Building a service to help insulting minorities
Harriet Tubman,CSDS,Building a service to help fighting for civil rights
Madeleine Albright,CS,Building a service to help  fighting for democracy
Marco Polo,CSDS,Building a service to help opening new markets
Dr. John Watson,DS,Creating an app for offering medical opinions
Johann von Goethe,CSDS,Creating an app for writing about social problems
Hulk Hogan,CS,Creating a web interface for pretending to wrestle
Harriet Tubman,CS,Building a REST API for fighting for civil rights
Ellen Ripley,DS,Building a service to help hunting aliens
Queen Victoria,CSDS,Creating a web interface for running a kingdom
Pepé Le Pew,DS,Creating a web interface for chasing cats
Gregor Mendel,CS,Building a REST API for tending the garden
Elmore Leonard,CS,Building a service to help writing compelling dialogue
Albert Einstein,CS,Creating a web interface for revolutionizing physics
Indiana Jones,DS,Building a service to help unearthing ancient tombs
Dr. Strangelove,DS,Creating an app for pushing the hardline
Captain America,DS,Creating a web interface for promoting American values
Wilkins Micawber,DS,Building a service to help buying on credit
Albert Einstein,CS,Building a service to help revolutionizing physics
Dr. Henry Jekyll,DS,Creating an app for suppressing violent urges
Nelson Mandela,CSDS,Building a REST API for promoting racial harmony
Simon Pegg,CS,Building a service to help promoting nerd culture 
Salman Rushdie,CSDS,Creating a web interface for hiding from extremists
Marco Polo,CS,Creating an app for exploring foreign countries
Pepé Le Pew,DS,Building a service to help chasing cats
Niles Crane,DS,Creating an app for nurturing sibling rivalry
Ann Coulter,CS,Creating a web interface for ranting about liberals
Katy Perry,CS,Creating an app for singing pop songs
Dana Scully,DS,Creating an app for explaining away the unexplained
Madeleine Albright,CS,Building a REST API for  fighting for democracy
Boudicca,CS,Building a REST API for  spreading revolution
Dr. Strangelove,DS,Building a REST API for pushing the hardline
Amy Winehouse,CS,Building a REST API for singing jazz songs
Gordon Ramsay,CS,Creating an app for winning Michelin stars
Joaquin Phoenix,CSDS,Building a service to help starring in indy movies
Mike  Pence,CS,Creating a web interface for promoting conservative values
Russell Brand,CS,Building a service to help starring in comedies
James Brown,CS,Building a service to help writing blues songs
Nelson Mandela,CS,Creating a web interface for fighting for democracy
Samuel Johnson,CS,Creating an app for defining words
Marco Polo,CS,Building a REST API for opening new markets
Norman Bates,DS,Creating a web interface for spying on girls
Nelson Mandela,CSDS,Building a service to help promoting racial harmony
Dana Scully,DS,Building a service to help investigating alien abductions
Karl Marx,CSDS,Building a REST API for fighting for worker's rights
Daniel Craig,CS,Creating an app for playing James Bond
Pythagoras,CS,Building a REST API for studying mathematics
Sergey Brin,CSDS,Building a service to help performing Web searches
Tweety Pie,DS,Building a service to help swinging on a perch
Daniel Craig,CS,Building a REST API for starring in action movies
Victor Meldrew,DS,Building a REST API for complaining about everything
Indiana Jones,DS,Creating a web interface for punching out Nazis
Nelson Mandela,CSDS,Creating a web interface for promoting racial harmony
Nelson Mandela,CS,Creating an app for fighting for democracy
J.R.R. Tolkein,CS,Creating a web interface for making fantasy movies
Spartacus,DS,Creating an app for spreading revolution
King Lear,DS,Building a REST API for going senile
Tony Soprano,DS,Creating a web interface for running a crime family
Nelson Mandela,CSDS,Creating an app for promoting racial harmony
Meryl Streep,CSDS,Creating an app for winning Oscars
Novak Djokovic,CSDS,Building a REST API for delivering forehand slams
Giacomo Casanova,CS,Building a service to help chasing after women
Samson,CS,Building a service to help letting one's hair down
Groucho Marx,CSDS,Building a service to help starring in madcap comedies
Harriet Tubman,CS,Creating a web interface for fighting for civil rights
Elmore Leonard,CS,Creating an app for writing compelling dialogue
Boudicca,CS,Creating an app for instigating rebellion
Obi-wan Kenobi,DS,Creating an app for rescuing damsels in distress
Kevin Bacon,CS,Creating an app for forming new social connections
Pete Sampras,CSDS,Creating an app for winning tennis matches
King Lear,DS,Creating a web interface for going senile
Edward Hopper,CS,Creating an app for painting melancholy pictures
Gloria Steinem,CSDS,Creating an app for moaning about men
John Keats,CS,Creating a web interface for writing romantic poetry
Tony Soprano,DS,Building a service to help running a crime family
Jackson Pollock,CS,Creating an app for painting abstract paintings
Genghis Khan,CS,Building a REST API for running an empire
Victor Meldrew,DS,Creating an app for complaining about everything
John Dillinger,CS,Creating a web interface for eluding the FBI
Dr. John Watson,DS,Creating an app for writing up case notes
Karl Marx,CS,Building a REST API for arguing against capitalism
Groucho Marx,CS,Building a REST API for starring in madcap comedies
Dr. John Watson,DS,Building a service to help writing up case notes
Queen Victoria,CSDS,Creating a web interface for ruling over subjects
Anton Chekov,CSDS,Building a REST API for writing plays about the middle classes
The Joker,DS,Creating a web interface for spreading fear
Ann Coulter,CS,Creating an app for ranting about liberals
Thomas Jefferson,CS,Building a service to help wielding political power
Jeremy Clarkson,CS,Creating a web interface for insulting minorities
Tom Hanks,CSDS,Creating a web interface for starring in Hollywood movies
Madeleine Albright,CS,Creating a web interface for  fighting for democracy
Thomas Jefferson,CSDS,Building a REST API for fighting for democracy
King Lear,DS,Creating an app for going senile
Donald Duck,DS,Building a service to help setting mousetraps
Bob Belcher,DS,Building a service to help flipping hamburgers
Donald Duck,DS,Building a REST API for setting mousetraps
Kevin Bacon,CSDS,Creating a web interface for forming new social connections
Euclid,CS,Creating a web interface for proving math theorems
