Gustavo Fring,DS,Building a REST API for selling chrystal meth
Donald Rumsfeld,CSDS,Building a service to help offering gnostic advice
Rick Sanchez,DS,Building a REST API for inventing electrical marvels
Daniel Craig,CSDS,Creating an app for starring in action movies
Queen Elizabeth I,CSDS,Creating an app for running a kingdom
Emmanuel Macron,CS,Building a REST API for giving speeches
Harvey Milk,CS,Creating a web interface for campaigning for social causes
Larry Flynt,CS,Creating a web interface for publishing soft pornography
Lucifer,DS,Building a REST API for tempting the innocent
Michael Schumacher,CS,Building a REST API for racing fast cars
Marco Polo,CSDS,Building a service to help opening new markets
Whitney Houston,CSDS,Creating a web interface for writing pop songs
Marco Polo,CSDS,Building a REST API for opening new markets
Gary Larson,CS,Building a service to help drawing whimsical cartoons
Michael Jackson,CS,Creating a web interface for playing pop music
Harvey Milk,CS,Building a service to help campaigning for social causes
Mayor Joe Quimby,DS,Building a service to help  embezzling tax money
Marco Polo,CS,Creating a web interface for exploring foreign countries
Andy Warhol,CS,Creating an app for painting soup cans
John Constantine,DS,Creating a web interface for smoking Silk Cut cigarettes
Harvey Weinstein,CS,Building a service to help making movies
Mayor Joe Quimby,DS,Creating an app for paying kickbacks to the police chief
Albus Dumbledore,DS,Creating a web interface for teaching magic
Rick Sanchez,DS,Building a service to help inventing electrical marvels
Tony Montana,DS,Building a service to help running a crime family
Cameron Diaz,CS,Building a service to help starring in romantic comedies
Steve Guttenberg,CS,Building a service to help making dumb comedies
Thor Odinson,DS,Building a service to help smiting frost giants
J.R.R. Tolkein,CSDS,Creating a web interface for making fantasy movies
Simone de Beauvoir,CS,Creating an app for promoting feminism
Jesus Christ,CSDS,Building a service to help promoting charity
Willy Wonka,DS,Building a REST API for running a business empire
Iggy Pop,CS,Creating a web interface for doing raunchy stage acts
Sylvia Plath,CSDS,Building a REST API for writing poetry
Mr. Krabs,DS,Creating a web interface for pinching pennies
Steve Guttenberg,CS,Creating a web interface for getting plastic surgery
Jesus Christ,CS,Creating an app for curing lepers
Courtney Love,CSDS,Creating a web interface for playing grungy music
Bob Cratchit,DS,Creating an app for keeping accounts
Steve Ballmer,CS,Creating a web interface for running a technology company
Colonel Kurtz,DS,Building a REST API for waging a secret war
King David,CS,Creating a web interface for running a kingdom
Principal Seymour Skinner,DS,Building a service to help looking after mother
Kim Philby,CSDS,Building a REST API for betraying friends
Donald Rumsfeld,CS,Creating an app for blanketing staff with memos
Andy Warhol,CS,Building a service to help painting soup cans
Kim Philby,CS,Creating a web interface for changing sides
Jesus Christ,CSDS,Building a REST API for spreading Christianity
Scarlett O'Hara,DS,Creating a web interface for attending cotillion balls
Kim Philby,CS,Creating a web interface for selling out
Queen Elizabeth I,CS,Building a service to help running a kingdom
Harvey Weinstein,CSDS,Creating a web interface for seducing women
Friedrich Nietzsche,CS,Creating an app for promoting humanism
Erasmus,CS,Building a service to help promoting humanism
Thor Odinson,DS,Creating an app for starting thunderstorms
Kim Philby,CSDS,Building a service to help changing sides
Auric Goldfinger,DS,Creating an app for devising evil schemes
Willy Wonka,DS,Building a service to help selling confectionary
Albus Dumbledore,DS,Creating a web interface for teaching the next generation 
Roger Federer,CS,Creating a web interface for winning tennis grand slams
Andy Warhol,CSDS,Creating an app for painting over photographs
Andy Warhol,CS,Building a REST API for painting soup cans
Albus Dumbledore,DS,Building a REST API for teaching the next generation 
Mick Jagger,CS,Creating an app for singing rock songs
Ted Cruz,CS,Building a service to help promoting conservative values
Harvey Milk,CSDS,Building a REST API for campaigning for social causes
Queen Elizabeth I,CS,Building a REST API for ruling over subjects
Harvey Weinstein,CS,Building a REST API for making movies
Sarah Connor,DS,Building a service to help preparing for the apocalypse
Michael Schumacher,CS,Creating an app for racing fast cars
Whitney Houston,CSDS,Building a REST API for writing pop songs
Thor Odinson,DS,Creating an app for smiting frost giants
Steve Guttenberg,CS,Building a REST API for getting plastic surgery
Ted Cruz,CS,Building a REST API for promoting conservative values
Donald Rumsfeld,CSDS,Creating a web interface for offering gnostic advice
Andy Warhol,CSDS,Creating a web interface for painting over photographs
Che Guevara,CSDS,Building a REST API for promoting communism
Bear Grylls,CS,Building a service to help eating bugs
Robinson Crusoe,DS,Creating an app for making home-made clothes
Gary Larson,CS,Creating a web interface for drawing whimsical cartoons
Gustavo Fring,DS,Building a service to help running a criminal empire
Elon Musk,CSDS,Building a REST API for developing new technologies
George Armstrong Custer,CS,Creating an app for developing military strategies
Michael Jackson,CSDS,Creating a web interface for singing pop songs
Michael Jackson,CS,Building a service to help playing pop music
Sylvia Plath,CSDS,Creating a web interface for writing poetry
Rick Sanchez,DS,Creating an app for pioneering new technologies
Queen Elizabeth I,CS,Creating a web interface for ruling over subjects
Principal Seymour Skinner,DS,Creating a web interface for looking after mother
Auric Goldfinger,DS,Creating an app for cheating at golf 
Thor Odinson,DS,Building a REST API for starting thunderstorms
Mr. Krabs,DS,Building a service to help running a fast-food business
Michael Schumacher,CS,Creating an app for driving fast cars
Ted Cruz,CS,Creating a web interface for promoting conservative values
Steve Guttenberg,CSDS,Creating an app for getting plastic surgery
J.R.R. Tolkein,CS,Creating an app for making fantasy movies
Johnny Cash,CS,Building a REST API for singing country music
Bear Grylls,CS,Creating an app for sucking roots
Emmanuel Macron,CS,Building a REST API for campaigning for the presidency
Nancy Drew,DS,Creating a web interface for finding clues
David Byrne,CS,Building a service to help writing pop songs
Auric Goldfinger,DS,Creating a web interface for devising evil schemes
Queen Elizabeth I,CSDS,Building a REST API for running a kingdom
Tony Montana,DS,Creating an app for running a crime family
Mr. Krabs,DS,Creating a web interface for selling fast food
Socrates,CS,Creating a web interface for teaching the next generation
Carl Sagan,CSDS,Creating an app for studying the cosmos
Thor Odinson,DS,Building a REST API for smiting frost giants
Phoebe Buffay,DS,Creating an app for singing parody songs
Michael Jackson,CS,Creating an app for writing pop songs
Johnny Cash,CSDS,Creating an app for singing country music
Steve Guttenberg,CSDS,Creating a web interface for making dumb comedies
Mick Jagger,CS,Building a service to help writing rock songs
George Armstrong Custer,CS,Creating an app for leading armies into battle
Mayor Joe Quimby,DS,Building a REST API for  embezzling tax money
Ted Cruz,CS,Creating an app for promoting conservative values
Principal Seymour Skinner,DS,Creating an app for looking after mother
Gustavo Fring,DS,Building a service to help selling chrystal meth
Colonel Kurtz,DS,Building a REST API for instilling fear in the enemy
Robinson Crusoe,DS,Building a service to help making home-made clothes
Mick Jagger,CSDS,Building a REST API for singing rock songs
Nancy Drew,DS,Building a REST API for finding clues
Iggy Pop,CS,Building a service to help doing raunchy stage acts
Gustavo Fring,DS,Creating a web interface for selling chrystal meth
Jabba the Hutt,DS,Building a REST API for running a crime family
Tony Montana,DS,Creating an app for running an empire
Steve Ballmer,CS,Creating an app for running a technology company
Cameron Diaz,CS,Building a REST API for starring in romantic comedies
Roger Federer,CS,Building a REST API for winning tennis grand slams
Simone de Beauvoir,CSDS,Building a service to help moaning about men
Elon Musk,CS,Building a service to help developing new technologies
Bob Cratchit,DS,Building a REST API for performing office chores
David Byrne,CS,Creating an app for singing pop songs
Nelson Mandela,CS,Building a REST API for promoting racial harmony
Harvey Weinstein,CS,Creating a web interface for making movies
Emmanuel Macron,CSDS,Creating a web interface for campaigning for the presidency
Phoebe Buffay,DS,Creating a web interface for singing goofy songs
Nelson Mandela,CS,Creating a web interface for promoting racial harmony
Lou Reed,CS,Creating an app for playing rock guitar
David Byrne,CS,Building a service to help singing pop songs
Bob Cratchit,DS,Creating a web interface for keeping accounts
Socrates,CS,Creating an app for writing on wax tablets
Thor Odinson,DS,Building a service to help starting thunderstorms
Gustavo Fring,DS,Creating a web interface for selling fried chicken
Lucifer,DS,Building a service to help burning the wicked
Elon Musk,CS,Building a REST API for pioneering new technologies
Donald Rumsfeld,CS,Creating an app for offering gnostic advice
Daniel Craig,CS,Building a REST API for starring in action movies
Sarah Connor,DS,Building a REST API for preparing for the apocalypse
Marco Polo,CS,Creating an app for opening new markets
Bear Grylls,CS,Building a REST API for sucking roots
Michael Schumacher,CS,Creating a web interface for racing fast cars
Simone de Beauvoir,CSDS,Creating a web interface for promoting feminism
Sarah Connor,DS,Creating a web interface for preparing for the apocalypse
Cameron Diaz,CS,Creating a web interface for starring in romantic comedies
Sylvia Plath,CS,Building a service to help writing poetry
Larry Flynt,CSDS,Building a service to help running gentleman's clubs
Bob Cratchit,DS,Building a REST API for keeping accounts
Che Guevara,CS,Creating an app for promoting socialism
Jesus Christ,CS,Building a REST API for healing the sick
Larry Flynt,CS,Creating an app for publishing soft pornography
Daniel Craig,CS,Building a REST API for playing James Bond
Rick Sanchez,DS,Creating an app for inventing electrical marvels
Lou Reed,CSDS,Building a service to help playing rock guitar
John Constantine,DS,Building a REST API for smoking Silk Cut cigarettes
Lou Reed,CS,Creating an app for playing rock music
Cameron Diaz,CS,Creating an app for starring in romantic comedies
Donald Rumsfeld,CSDS,Building a service to help promoting new wars
Lucifer,DS,Creating a web interface for tempting the innocent
Jabba the Hutt,DS,Creating an app for running a smuggling business
Bob Cratchit,DS,Building a service to help performing office chores
Jesus Christ,CS,Creating an app for spreading Christianity
Robinson Crusoe,DS,Building a service to help milking coconuts
Donald Rumsfeld,CS,Building a service to help blanketing staff with memos
Simone de Beauvoir,CS,Building a REST API for promoting feminism
Principal Seymour Skinner,DS,Building a REST API for looking after mother
Che Guevara,CS,Creating a web interface for promoting socialism
Elon Musk,CS,Creating a web interface for developing new technologies
Robinson Crusoe,DS,Building a service to help surviving a shipwreck
Gustavo Fring,DS,Building a service to help deep-frying chicken
