Building a REST API for starring in Hollywood movies,"62489907"
Building a REST API for writing scripts,"15147737"
Creating a web interface for studying paleontology,"53511783,49146564,54390982,20120636"
Creating an app for playing everyman characters,"45921857,38818441,31598635,62273993"
Building a REST API for ranting about conservatives,"84789124,31236076"
Building a service to help teaching magic,"13984639,82719884,33793147"
Creating an app for solving crimes,"86989899,72832575"
Creating a web interface for starring in Hollywood movies,"56055547,62218266"
Creating an app for promoting conservative values,"66454022,51624931,80169969"
Creating an app for extracting confessions,"70945765,35318171"
Creating a web interface for promoting Catholic values,"60724089,63320849"
Creating a web interface for campaigning for social causes,"50678018"
Building a service to help singing opera arias,"43160440"
Creating an app for singing parody songs,"56316638"
Building a REST API for studying dinosaurs,"43828215"
Creating an app for studying dinosaurs,"12102305"
Building a REST API for bending the law,"44159049"
Building a REST API for promoting conservative values,"43898555"
Creating an app for making insipid musicals,"42124918"
Building a service to help promoting liberal values,"44823971"
Creating an app for singing pop songs,"74698686"
Creating an app for  fighting with swords,"86568934,51547745"
Creating an app for winning gold medals,"58672820"
Building a REST API for making insipid musicals,"62657571"
Building a service to help singing pop songs,"15432736"
Creating an app for defending the weak,"57866940,81212344"
Building a REST API for studying paleontology,"58285434,10740664"
Building a service to help studying mathematics,"58704605"
Creating an app for directing movies,"43708208"
Building a service to help telling affable jokes,"56911316"
Creating an app for studying paleontology,"49286478"
Creating a web interface for singing opera arias,"65055638"
Creating a web interface for playing soccer,"66798757"
Building a service to help performing kung-fu moves,"84555975"
Creating a web interface for performing magic tricks,"73575744"
Creating a web interface for solving mysteries,"34165368"
Building a REST API for solving crimes,"72572837"
Creating a web interface for singing pop songs,"69068139"
Building a service to help stealing jewels,"44428130"
Building a REST API for representing criminals,"39919768"
Building a service to help fomenting social revolution,"88350908"
Building a service to help writing pop songs,"13106016"
